2023-02-03 10:37:29.911884; 629978849; 2 / 3 + 6; 6.67
2023-02-03 10:37:43.394917; 629978849; 2 - 5; -3.0
2023-02-03 10:37:50.745785; 629978849; 10 / 3; 3.33
2023-02-03 10:38:00.660562; 629978849; 15 / 10 * 3 - 10; -5.5
2023-02-03 10:38:23.850706; 629978849; -10 * 3 / 2 - 3 * 3; -24.0
2023-02-03 10:38:37.899685; 629978849; 2 * 6 / 3 + 4 * 5 - 10; 14.0
2023-02-03 11:14:09.046864; 629978849; 2 * 35; 70.0
2023-02-03 11:15:53.580062; 5034927297; -2 + 2; 0.0
2023-02-03 11:27:44.207672; 629978849; 1 * 50 + 21; 71.0
2023-02-03 11:30:40.933711; 629978849; 1 + 1; 2.0
2023-02-03 11:31:04.525610; 629978849; 6 / 3 + 17 * 2 - 3; 33.0
2023-02-03 11:33:05.814614; 629978849; 6 * 6 * 6; 216.0
